course_dept,course_id,course_title,course_num
ACMA,0,Job Practicum I,336
ACMA,1,Job Practicum II,337
ACMA,2,Job Practicum III,436
ACMA,3,Job Practicum IV,437
ACMA,4,Job Practicum V,438
ALS,5,Real Property II,612
ALS,6,Personal Planning,615
APMA,7,PhD Oral Candidacy Exam,995
ARAB,8,Introduction to Arabic I,100
ARCH,9,Ancient Peoples and Places,100
ARCH,10,Human Origins,131
ARCH,11,Reconstructing the Human Past,201
ARCH,12,"The Prehistory of Religion: Shamans, Sorcerers and Saints",226
ARCH,13,Ancient Visual Art,301
ARCH,14,Special Topics in Biological Anthropology II,323
ARCH,15,Select Regions in World Archaeology II,331
ARCH,16,Historical Ecology & Coastal Archaeology,431
ARCH,17,Background to Field Work,433
ARCH,18,Archaeological Field Methods,434
ARCH,19,Biological Anthropology Field Practicum,436
ARCH,20,Directed Study in Heritage Resource Management,591
ARCH,21,PhD Prospectus & Colloquium,874
ARCH,22,PhD Comprehensive Examination,875
ARCH,23,Special Topics,895
ARCH,24,MA Thesis,898
ARCH,25,PhD Thesis,899
BISC,26,General Biology,101
BISC,27,General Biology,102
BISC,28,Biology in Everyday Life,113
BISC,29,Genetics,202
BISC,30,Introduction to Undergraduate Research in Biological Sciences,298
BISC,31,Evolution,300
BISC,32,Microbiology,303
BISC,33,Animal Physiology,305
BISC,34,Vertebrate Biology,316
BISC,35,Practicum I,341
BISC,36,Practicum II,342
BISC,37,Practicum III,443
BISC,38,Practicum IV,444
BISC,39,Practicum V,446
BISC,40,"Special Topics in Ecology, Evolution and Conservation",473
BISC,41,Research Design,490
BISC,42,Research Technique,491
BISC,43,Research Reporting,492W
BISC,44,Undergraduate Research: Writing Intensive,497W
BISC,45,Undergraduate Research I,498
BISC,46,Undergraduate Research II,499
BISC,47,"Agriculture, Horticulture and Urban Pest Management",601
BISC,48,Forest Pest Management,602
BISC,49,Master of Environmental Toxicology Project,656
BISC,50,Co-op I,657
BISC,51,Co-op II,658
BISC,52,Master of Pest Management Thesis,849
BISC,53,Directed Readings in Biology,888
BISC,54,Directed Readings in Biology,889
BISC,55,Directed Readings in Biology,890
BISC,56,PhD Graduate Candidacy Exam,892
BISC,57,MSc Thesis,898
BISC,58,PhD Thesis,899
BPK,59,Fundamentals of Human Structure and Function,105
BPK,60,Human Nutrition: Current Issues,110
BPK,61,Contemporary Health Issues,140
BPK,62,Theory of Exercise Program Design,141
BPK,63,Introduction to Biomedical Physiology and Kinesiology,142
BPK,64,Sports Injuries - Prevention and Rehabilitation,241
BPK,65,Kinanthropometry,303
BPK,66,Inquiry and Measurement in Biomedical Physiology and Kinesiology,304W
BPK,67,Exercise/Work Physiology,310
BPK,68,Applied Human Nutrition,311
BPK,69,Basic Human Anatomy,325
BPK,70,Functional Anatomy,326
BPK,71,Active Health: Behavior and Promotion,340
BPK,72,Active Health: Assessment and Programming,343
BPK,73,Practicum I,351
BPK,74,Practicum II,352
BPK,75,Human Growth and Development,375
BPK,76,Human Physiology Laboratory,407
BPK,77,Integrative Cancer Biology,431
BPK,78,Practicum III,451
BPK,79,Practicum III,451W
BPK,80,Practicum IV,452
BPK,81,Practicum V,453
BPK,82,Behavioural Neuroscience Undergraduate Honours Thesis Proposal,457
BPK,83,Behavioural Neuroscience Undergraduate Honours Thesis,459
BPK,84,Musculoskeletal Disorders,481
BPK,85,Undergraduate Honours Thesis Proposal,491
BPK,86,Undergraduate Honours Research Performance,495
BPK,87,Directed Study Literature,496
BPK,88,Directed Study Experiential,498
BPK,89,Undergraduate Honours Thesis Reporting,499
BPK,90,Directed Studies,805
BPK,91,MSc Proposal,895
BPK,92,PhD Comprehensive Examination,896
BPK,93,PhD Seminar,897
BPK,94,MSc Thesis,898
BPK,95,PhD Thesis,899
BUS,96,Business Fundamentals,200
BUS,97,Foundations for Collaborative Work Environments,202
BUS,98,Managerial Economics,207
BUS,99,Critical Thinking in Business,217W
BUS,100,Personal Finance,221
BUS,101,Data and Decisions I,232
BUS,102,Introduction to Business Law and Ethics,233
BUS,103,Introduction to Business Technology Management,237
BUS,104,Introduction to Entrepreneurship and Innovation,238
BUS,105,Financial Accounting I,251
BUS,106,Managerial Accounting I,254
BUS,107,Behaviour in Organizations,272
BUS,108,"Business, Society and Ethics",303
BUS,109,Introduction to Managerial Accounting and Financial Management,311
BUS,110,Introduction to Finance,312
BUS,111,Investments,315
BUS,112,Derivative Securities,316
BUS,113,Financial Accounting:  Assets,320
BUS,114,Financial Accounting: Equities,321
BUS,115,Intermediate Managerial Accounting,322
BUS,116,Income Taxation for Individuals,330
BUS,117,Corporate Taxation,331
BUS,118,Data and Decisions II,336
BUS,119,Foundations of Innovation,338
BUS,120,International Business Strategy,340
BUS,121,Fundamentals of Marketing,341
BUS,122,Introduction to Marketing,343
BUS,123,Marketing Research,345
BUS,124,Global Business Environment,346
BUS,125,Consumer Behaviour,347
BUS,126,Business Communication,360W
BUS,127,Project Management,361
BUS,128,Business Process Analysis,362
BUS,129,Organization Theory,374
BUS,130,Introduction to Human Resource Management,381
BUS,131,Commercial Law,393
BUS,132,Developing Organizational Opportunities,401
BUS,133,Technology Entrepreneurship II,405
BUS,134,Startup Accelerator,406
BUS,135,Financial Institutions,410
BUS,136,Corporate Finance,413
BUS,137,Security Analysis,417
